numPlayers: 11
Player0: 0
Player1: 1
Player2: 2
Player3: 3
Player4: 4
Player5: 5
Player6: 6
Player7: 7
Player8: 8
Player9: 9
Player10: 10
numGames: 20803
FOR_TRAINING 7:9 1:0
FOR_TRAINING 7:10 1:0
FOR_TRAINING 2:8 0:1
FOR_TRAINING 6:8 0:1
FOR_TRAINING 8:9 1:0
FOR_TRAINING 8:10 1:0
FOR_TRAINING 2:6 1:0
FOR_TRAINING 2:9 1:0
FOR_TRAINING 2:10 1:0
FOR_TRAINING 6:9 1:0
FOR_TRAINING 6:10 1:0
FOR_TRAINING 9:10 1:0
FOR_TRAINING 0:1 1:0
FOR_TRAINING 0:7 1:0
FOR_TRAINING 0:8 1:0
FOR_TRAINING 0:2 1:0
FOR_TRAINING 0:6 1:0
FOR_TRAINING 0:9 1:0
FOR_TRAINING 0:10 1:0
FOR_TRAINING 1:7 1:0
FOR_TRAINING 1:8 1:0
FOR_TRAINING 1:2 1:0
FOR_TRAINING 1:6 1:0
FOR_TRAINING 1:9 1:0
FOR_TRAINING 1:10 1:0
FOR_TRAINING 7:8 1:0
FOR_TRAINING 2:7 0:1
FOR_TRAINING 6:7 0:1
FOR_TRAINING 7:9 1:0
FOR_TRAINING 7:10 1:0
FOR_TRAINING 2:8 0:1
FOR_TRAINING 6:8 0:1
FOR_TRAINING 8:9 1:0
FOR_TRAINING 8:10 1:0
FOR_TRAINING 2:6 1:0
FOR_TRAINING 2:9 1:0
FOR_TRAINING 2:10 1:0
FOR_TRAINING 6:9 1:0
FOR_TRAINING 6:10 1:0
FOR_TRAINING 9:10 1:0
FOR_TRAINING 0:1 1:0
FOR_TRAINING 0:9 1:0
FOR_TRAINING 0:4 1:0
FOR_TRAINING 0:2 1:0
FOR_TRAINING 0:6 1:0
FOR_TRAINING 0:7 1:0
FOR_TRAINING 0:8 1:0
FOR_TRAINING 1:9 1:0
FOR_TRAINING 1:4 1:0
FOR_TRAINING 1:2 1:0
FOR_TRAINING 1:6 1:0
FOR_TRAINING 1:7 1:0
FOR_TRAINING 1:8 1:0
FOR_TRAINING 4:9 0:1
FOR_TRAINING 2:9 0:1
FOR_TRAINING 6:9 0:1
FOR_TRAINING 7:9 0:1
FOR_TRAINING 8:9 0:1
FOR_TRAINING 2:4 0:1
FOR_TRAINING 4:6 1:0
FOR_TRAINING 4:7 1:0
FOR_TRAINING 4:8 1:0
FOR_TRAINING 2:6 1:0
FOR_TRAINING 2:7 1:0
FOR_TRAINING 2:8 1:0
FOR_TRAINING 6:7 1:0
FOR_TRAINING 6:8 1:0
FOR_TRAINING 7:8 1:0
FOR_TESTING 0:2 1:0
FOR_TESTING 0:9 1:0
FOR_TESTING 0:4 1:0
FOR_TESTING 0:10 1:0
FOR_TESTING 0:1 1:0
FOR_TESTING 0:6 1:0
FOR_TESTING 0:8 1:0
FOR_TESTING 0:7 1:0
FOR_TESTING 2:9 1:0
FOR_TESTING 2:4 1:0
FOR_TESTING 2:10 1:0
FOR_TESTING 1:2 0:1
FOR_TESTING 2:6 1:0
FOR_TESTING 2:8 1:0
FOR_TESTING 2:7 1:0
FOR_TESTING 4:9 0:1
FOR_TESTING 9:10 1:0
FOR_TESTING 1:9 0:1
FOR_TESTING 6:9 0:1
FOR_TESTING 8:9 0:1
FOR_TESTING 7:9 0:1
FOR_TESTING 4:10 1:0
FOR_TESTING 1:4 0:1
FOR_TESTING 4:6 1:0
FOR_TESTING 4:8 1:0
FOR_TESTING 4:7 1:0
FOR_TESTING 1:10 0:1
FOR_TESTING 6:10 0:1
FOR_TESTING 8:10 0:1
FOR_TESTING 7:10 0:1
FOR_TESTING 1:6 1:0
FOR_TESTING 1:8 1:0
FOR_TESTING 1:7 1:0
FOR_TESTING 6:8 1:0
FOR_TESTING 6:7 1:0
FOR_TESTING 7:8 0:1
FOR_TRAINING 0:2 1:0
FOR_TRAINING 0:5 1:0
FOR_TRAINING 0:7 1:0
FOR_TRAINING 0:9 1:0
FOR_TRAINING 0:10 1:0
FOR_TRAINING 0:8 1:0
FOR_TRAINING 0:6 1:0
FOR_TRAINING 0:1 1:0
FOR_TRAINING 0:4 1:0
FOR_TRAINING 2:5 1:0
FOR_TRAINING 2:7 1:0
FOR_TRAINING 2:9 1:0
FOR_TRAINING 2:10 1:0
FOR_TRAINING 2:8 1:0
FOR_TRAINING 2:6 1:0
FOR_TRAINING 1:2 0:1
FOR_TRAINING 2:4 1:0
FOR_TRAINING 5:7 1:0
FOR_TRAINING 5:9 1:0
FOR_TRAINING 5:10 1:0
FOR_TRAINING 5:8 1:0
FOR_TRAINING 5:6 1:0
FOR_TRAINING 1:5 0:1
FOR_TRAINING 4:5 0:1
FOR_TRAINING 7:9 1:0
FOR_TRAINING 7:10 1:0
FOR_TRAINING 7:8 1:0
FOR_TRAINING 6:7 0:1
FOR_TRAINING 1:7 0:1
FOR_TRAINING 4:7 0:1
FOR_TRAINING 9:10 1:0
FOR_TRAINING 8:9 0:1
FOR_TRAINING 6:9 0:1
FOR_TRAINING 1:9 0:1
FOR_TRAINING 4:9 0:1
FOR_TRAINING 8:10 0:1
FOR_TRAINING 6:10 0:1
FOR_TRAINING 1:10 0:1
FOR_TRAINING 4:10 0:1
FOR_TRAINING 6:8 0:1
FOR_TRAINING 1:8 0:1
FOR_TRAINING 4:8 0:1
FOR_TRAINING 1:6 0:1
FOR_TRAINING 4:6 0:1
FOR_TRAINING 1:4 1:0
FOR_VALIDATION 0:6 1:0
FOR_VALIDATION 0:8 1:0
FOR_VALIDATION 0:2 1:0
FOR_VALIDATION 0:4 1:0
FOR_VALIDATION 0:10 1:0
FOR_VALIDATION 0:1 1:0
FOR_VALIDATION 0:9 1:0
FOR_VALIDATION 0:3 1:0
FOR_VALIDATION 0:7 1:0
FOR_VALIDATION 6:8 1:0
FOR_VALIDATION 2:6 0:1
FOR_VALIDATION 4:6 0:1
FOR_VALIDATION 6:10 1:0
FOR_VALIDATION 1:6 0:1
FOR_VALIDATION 6:9 1:0
FOR_VALIDATION 3:6 0:1
FOR_VALIDATION 6:7 1:0
FOR_VALIDATION 2:8 0:1
FOR_VALIDATION 4:8 0:1
FOR_VALIDATION 8:10 1:0
FOR_VALIDATION 1:8 0:1
FOR_VALIDATION 8:9 1:0
FOR_VALIDATION 3:8 0:1
FOR_VALIDATION 7:8 0:1
FOR_VALIDATION 2:4 1:0
FOR_VALIDATION 2:10 1:0
FOR_VALIDATION 1:2 0:1
FOR_VALIDATION 2:9 1:0
FOR_VALIDATION 2:3 1:0
FOR_VALIDATION 2:7 1:0
FOR_VALIDATION 4:10 1:0
FOR_VALIDATION 1:4 0:1
FOR_VALIDATION 4:9 1:0
FOR_VALIDATION 3:4 0:1
FOR_VALIDATION 4:7 1:0
FOR_VALIDATION 1:10 0:1
FOR_VALIDATION 9:10 0:1
FOR_VALIDATION 3:10 0:1
FOR_VALIDATION 7:10 0:1
FOR_VALIDATION 1:9 1:0
FOR_VALIDATION 1:3 1:0
FOR_VALIDATION 1:7 1:0
FOR_VALIDATION 3:9 0:1
FOR_VALIDATION 7:9 0:1
FOR_VALIDATION 3:7 1:0
FOR_TRAINING 0:7 1:0
FOR_TRAINING 0:8 1:0
FOR_TRAINING 0:1 1:0
FOR_TRAINING 0:2 1:0
FOR_TRAINING 0:3 1:0
FOR_TRAINING 0:5 1:0
FOR_TRAINING 0:4 1:0
FOR_TRAINING 0:10 1:0
FOR_TRAINING 0:9 1:0
FOR_TRAINING 7:8 1:0
FOR_TRAINING 1:7 0:1
FOR_TRAINING 2:7 0:1
FOR_TRAINING 3:7 0:1
FOR_TRAINING 5:7 0:1
FOR_TRAINING 4:7 0:1
FOR_TRAINING 7:10 1:0
FOR_TRAINING 7:9 1:0
FOR_TRAINING 1:8 0:1
FOR_TRAINING 2:8 0:1
FOR_TRAINING 3:8 0:1
FOR_TRAINING 5:8 0:1
FOR_TRAINING 4:8 0:1
FOR_TRAINING 8:10 1:0
FOR_TRAINING 8:9 1:0
FOR_TRAINING 1:2 1:0
FOR_TRAINING 1:3 1:0
FOR_TRAINING 1:5 1:0
FOR_TRAINING 1:4 1:0
FOR_TRAINING 1:10 1:0
FOR_TRAINING 1:9 1:0
FOR_TRAINING 2:3 1:0
FOR_TRAINING 2:5 1:0
FOR_TRAINING 2:4 1:0
FOR_TRAINING 2:10 1:0
FOR_TRAINING 2:9 1:0
FOR_TRAINING 3:5 1:0
FOR_TRAINING 3:4 1:0
FOR_TRAINING 3:10 1:0
FOR_TRAINING 3:9 1:0
FOR_TRAINING 4:5 0:1
FOR_TRAINING 5:10 1:0
FOR_TRAINING 5:9 1:0
FOR_TRAINING 4:10 1:0
FOR_TRAINING 4:9 1:0
FOR_TRAINING 9:10 0:1
FOR_TRAINING 0:1 1:0
FOR_TRAINING 0:2 1:0
FOR_TRAINING 0:3 1:0
FOR_TRAINING 0:5 1:0
FOR_TRAINING 0:7 1:0
FOR_TRAINING 0:8 1:0
FOR_TRAINING 0:9 1:0
FOR_TRAINING 0:10 1:0
FOR_TRAINING 1:2 1:0
FOR_TRAINING 1:3 1:0
FOR_TRAINING 1:5 1:0
FOR_TRAINING 1:7 1:0
FOR_TRAINING 1:8 1:0
FOR_TRAINING 1:9 1:0
FOR_TRAINING 1:10 1:0
FOR_TRAINING 2:3 1:0
FOR_TRAINING 2:5 1:0
FOR_TRAINING 2:7 1:0
FOR_TRAINING 2:8 1:0
FOR_TRAINING 2:9 1:0
FOR_TRAINING 2:10 1:0
FOR_TRAINING 3:5 1:0
FOR_TRAINING 3:7 1:0
FOR_TRAINING 3:8 1:0
FOR_TRAINING 3:9 1:0
FOR_TRAINING 3:10 1:0
FOR_TRAINING 5:7 1:0
FOR_TRAINING 5:8 1:0
FOR_TRAINING 5:9 1:0
FOR_TRAINING 5:10 1:0
FOR_TRAINING 7:8 1:0
FOR_TRAINING 7:9 1:0
FOR_TRAINING 7:10 1:0
FOR_TRAINING 8:9 1:0
FOR_TRAINING 8:10 1:0
FOR_TRAINING 9:10 1:0
FOR_VALIDATION 0:6 1:0
FOR_VALIDATION 0:2 1:0
FOR_VALIDATION 0:8 1:0
FOR_VALIDATION 0:4 1:0
FOR_VALIDATION 0:9 1:0
FOR_VALIDATION 0:10 1:0
FOR_VALIDATION 0:7 1:0
FOR_VALIDATION 0:5 1:0
FOR_VALIDATION 0:1 1:0
FOR_VALIDATION 2:6 0:1
FOR_VALIDATION 6:8 1:0
FOR_VALIDATION 4:6 0:1
FOR_VALIDATION 6:9 1:0
FOR_VALIDATION 6:10 1:0
FOR_VALIDATION 6:7 1:0
FOR_VALIDATION 5:6 0:1
FOR_VALIDATION 1:6 0:1
FOR_VALIDATION 2:8 1:0
FOR_VALIDATION 2:4 1:0
FOR_VALIDATION 2:9 1:0
FOR_VALIDATION 2:10 1:0
FOR_VALIDATION 2:7 1:0
FOR_VALIDATION 2:5 1:0
FOR_VALIDATION 1:2 0:1
FOR_VALIDATION 4:8 0:1
FOR_VALIDATION 8:9 1:0
FOR_VALIDATION 8:10 1:0
FOR_VALIDATION 7:8 0:1
FOR_VALIDATION 5:8 0:1
FOR_VALIDATION 1:8 0:1
FOR_VALIDATION 4:9 1:0
FOR_VALIDATION 4:10 1:0
FOR_VALIDATION 4:7 1:0
FOR_VALIDATION 4:5 1:0
FOR_VALIDATION 1:4 0:1
FOR_VALIDATION 9:10 1:0
FOR_VALIDATION 7:9 0:1
FOR_VALIDATION 5:9 0:1
FOR_VALIDATION 1:9 0:1
FOR_VALIDATION 7:10 0:1
FOR_VALIDATION 5:10 0:1
FOR_VALIDATION 1:10 0:1
FOR_VALIDATION 5:7 0:1
FOR_VALIDATION 1:7 0:1
FOR_VALIDATION 1:5 0:1
FOR_TESTING 2:7 1:0
FOR_TESTING 0:2 0:1
FOR_TESTING 0:7 0:1
FOR_TRAINING 2:7 1:0
FOR_TRAINING 0:2 0:1
FOR_TRAINING 0:7 0:1
FOR_TESTING 0:2 0:1
FOR_TESTING 2:7 1:0
FOR_TESTING 2:6 1:0
FOR_TESTING 2:4 1:0
FOR_TESTING 2:9 1:0
FOR_TESTING 2:8 1:0
FOR_TESTING 0:7 1:0
FOR_TESTING 0:6 1:0
FOR_TESTING 0:4 1:0
FOR_TESTING 0:9 1:0
FOR_TESTING 0:8 1:0
FOR_TESTING 6:7 0:1
FOR_TESTING 4:7 0:1
FOR_TESTING 7:9 1:0
FOR_TESTING 7:8 1:0
FOR_TESTING 4:6 0:1
FOR_TESTING 6:9 1:0
FOR_TESTING 6:8 1:0
FOR_TESTING 4:9 1:0
FOR_TESTING 4:8 1:0
FOR_TESTING 8:9 0:1
FOR_TRAINING 0:2 0:1
FOR_TRAINING 2:7 1:0
FOR_TRAINING 2:8 1:0
FOR_TRAINING 2:6 1:0
FOR_TRAINING 2:4 1:0
FOR_TRAINING 1:2 0:1
FOR_TRAINING 2:9 1:0
FOR_TRAINING 2:10 1:0
FOR_TRAINING 0:7 1:0
FOR_TRAINING 0:8 1:0
FOR_TRAINING 0:6 1:0
FOR_TRAINING 0:4 1:0
FOR_TRAINING 0:1 1:0
FOR_TRAINING 0:9 1:0
FOR_TRAINING 0:10 1:0
FOR_TRAINING 7:8 1:0
FOR_TRAINING 6:7 0:1
FOR_TRAINING 4:7 0:1
FOR_TRAINING 1:7 0:1
FOR_TRAINING 7:9 1:0
FOR_TRAINING 7:10 1:0
FOR_TRAINING 6:8 0:1
FOR_TRAINING 4:8 0:1
FOR_TRAINING 1:8 0:1
FOR_TRAINING 8:9 1:0
FOR_TRAINING 8:10 1:0
FOR_TRAINING 4:6 0:1
FOR_TRAINING 1:6 0:1
FOR_TRAINING 6:9 1:0
FOR_TRAINING 6:10 1:0
FOR_TRAINING 1:4 0:1
FOR_TRAINING 4:9 1:0
FOR_TRAINING 4:10 1:0
FOR_TRAINING 1:9 1:0
FOR_TRAINING 1:10 1:0
FOR_TRAINING 9:10 1:0
FOR_TRAINING 0:2 0:1
FOR_TRAINING 2:7 1:0
FOR_TRAINING 2:8 1:0
FOR_TRAINING 2:6 1:0
FOR_TRAINING 2:4 1:0
FOR_TRAINING 1:2 0:1
FOR_TRAINING 2:9 1:0
FOR_TRAINING 2:10 1:0
FOR_TRAINING 0:7 1:0
FOR_TRAINING 0:8 1:0
FOR_TRAINING 0:6 1:0
FOR_TRAINING 0:4 1:0
FOR_TRAINING 0:1 1:0
FOR_TRAINING 0:9 1:0
FOR_TRAINING 0:10 1:0
FOR_TRAINING 7:8 1:0
FOR_TRAINING 6:7 0:1
FOR_TRAINING 4:7 0:1
FOR_TRAINING 1:7 0:1
FOR_TRAINING 7:9 1:0
FOR_TRAINING 7:10 1:0
FOR_TRAINING 6:8 0:1
FOR_TRAINING 4:8 0:1
FOR_TRAINING 1:8 0:1
FOR_TRAINING 8:9 1:0
FOR_TRAINING 8:10 1:0
FOR_TRAINING 4:6 0:1
FOR_TRAINING 1:6 0:1
FOR_TRAINING 6:9 1:0
FOR_TRAINING 6:10 1:0
FOR_TRAINING 1:4 0:1
FOR_TRAINING 4:9 1:0
FOR_TRAINING 4:10 1:0
FOR_TRAINING 1:9 1:0
FOR_TRAINING 1:10 1:0
FOR_TRAINING 9:10 1:0
FOR_TRAINING 0:2 0:1
FOR_TRAINING 2:7 1:0
FOR_TRAINING 2:5 1:0
FOR_TRAINING 2:4 1:0
FOR_TRAINING 2:9 1:0
FOR_TRAINING 2:10 1:0
FOR_TRAINING 0:7 1:0
FOR_TRAINING 0:5 1:0
FOR_TRAINING 0:4 1:0
FOR_TRAINING 0:9 1:0
FOR_TRAINING 0:10 1:0
FOR_TRAINING 5:7 0:1
FOR_TRAINING 4:7 0:1
FOR_TRAINING 7:9 1:0
FOR_TRAINING 7:10 1:0
FOR_TRAINING 4:5 0:1
FOR_TRAINING 5:9 1:0
FOR_TRAINING 5:10 1:0
FOR_TRAINING 4:9 1:0
FOR_TRAINING 4:10 1:0
FOR_TRAINING 9:10 1:0
FOR_TRAINING 0:2 0:1
FOR_TRAINING 2:6 1:0
FOR_TRAINING 2:10 1:0
FOR_TRAINING 2:3 1:0
FOR_TRAINING 2:7 1:0
FOR_TRAINING 2:9 1:0
FOR_TRAINING 2:8 1:0
FOR_TRAINING 2:4 1:0
FOR_TRAINING 1:2 0:1
FOR_TRAINING 0:6 1:0
FOR_TRAINING 0:10 1:0
FOR_TRAINING 0:3 1:0
FOR_TRAINING 0:7 1:0
FOR_TRAINING 0:9 1:0
FOR_TRAINING 0:8 1:0
FOR_TRAINING 0:4 1:0
FOR_TRAINING 0:1 1:0
FOR_TRAINING 6:10 1:0
FOR_TRAINING 3:6 0:1
FOR_TRAINING 6:7 1:0
FOR_TRAINING 6:9 1:0
FOR_TRAINING 6:8 1:0
FOR_TRAINING 4:6 0:1
FOR_TRAINING 1:6 0:1
FOR_TRAINING 3:10 0:1
FOR_TRAINING 7:10 0:1
FOR_TRAINING 9:10 0:1
FOR_TRAINING 8:10 0:1
FOR_TRAINING 4:10 0:1
FOR_TRAINING 1:10 0:1
FOR_TRAINING 3:7 1:0
FOR_TRAINING 3:9 1:0
FOR_TRAINING 3:8 1:0
FOR_TRAINING 3:4 1:0
FOR_TRAINING 1:3 0:1
FOR_TRAINING 7:9 1:0
FOR_TRAINING 7:8 1:0
FOR_TRAINING 4:7 0:1
FOR_TRAINING 1:7 0:1
FOR_TRAINING 8:9 0:1
FOR_TRAINING 4:9 0:1
FOR_TRAINING 1:9 0:1
FOR_TRAINING 4:8 0:1
FOR_TRAINING 1:8 0:1
FOR_TRAINING 1:4 0:1
FOR_TRAINING 0:2 0:1
FOR_TRAINING 2:7 1:0
FOR_TRAINING 1:2 0:1
FOR_TRAINING 2:4 1:0
FOR_TRAINING 2:8 1:0
FOR_TRAINING 2:9 1:0
FOR_TRAINING 2:10 1:0
FOR_TRAINING 2:3 1:0
FOR_TRAINING 2:6 1:0
FOR_TRAINING 0:7 1:0
FOR_TRAINING 0:1 1:0
FOR_TRAINING 0:4 1:0
FOR_TRAINING 0:8 1:0
FOR_TRAINING 0:9 1:0
FOR_TRAINING 0:10 1:0
FOR_TRAINING 0:3 1:0
FOR_TRAINING 0:6 1:0
FOR_TRAINING 1:7 0:1
FOR_TRAINING 4:7 0:1
FOR_TRAINING 7:8 1:0
FOR_TRAINING 7:9 1:0
FOR_TRAINING 7:10 1:0
FOR_TRAINING 3:7 0:1
FOR_TRAINING 6:7 0:1
FOR_TRAINING 1:4 1:0
FOR_TRAINING 1:8 1:0
FOR_TRAINING 1:9 1:0
FOR_TRAINING 1:10 1:0
FOR_TRAINING 1:3 1:0
FOR_TRAINING 1:6 1:0
FOR_TRAINING 4:8 1:0
FOR_TRAINING 4:9 1:0
FOR_TRAINING 4:10 1:0
FOR_TRAINING 3:4 0:1
FOR_TRAINING 4:6 1:0
FOR_TRAINING 8:9 1:0
FOR_TRAINING 8:10 1:0
FOR_TRAINING 3:8 0:1
FOR_TRAINING 6:8 0:1
FOR_TRAINING 9:10 1:0
FOR_TRAINING 3:9 0:1
FOR_TRAINING 6:9 0:1
FOR_TRAINING 3:10 0:1
FOR_TRAINING 6:10 0:1
FOR_TRAINING 3:6 1:0
FOR_VALIDATION 2:7 1:0
FOR_VALIDATION 1:2 0:1
FOR_VALIDATION 0:2 0:1
FOR_VALIDATION 2:8 1:0
FOR_VALIDATION 2:6 1:0
FOR_VALIDATION 2:4 1:0
FOR_VALIDATION 1:7 0:1
FOR_VALIDATION 0:7 0:1
FOR_VALIDATION 7:8 1:0
FOR_VALIDATION 6:7 0:1
FOR_VALIDATION 4:7 0:1
FOR_VALIDATION 0:1 0:1
FOR_VALIDATION 1:8 1:0
FOR_VALIDATION 1:6 1:0
FOR_VALIDATION 1:4 1:0
FOR_VALIDATION 0:8 1:0
FOR_VALIDATION 0:6 1:0
FOR_VALIDATION 0:4 1:0
FOR_VALIDATION 6:8 0:1
FOR_VALIDATION 4:8 0:1
FOR_VALIDATION 4:6 0:1
FOR_TESTING 1:2 0:1
FOR_TESTING 0:2 0:1
FOR_TESTING 2:3 1:0
FOR_TESTING 2:8 1:0
FOR_TESTING 2:10 1:0
FOR_TESTING 2:6 1:0
FOR_TESTING 2:4 1:0
FOR_TESTING 2:7 1:0
FOR_TESTING 0:1 0:1
FOR_TESTING 1:3 1:0
FOR_TESTING 1:8 1:0
FOR_TESTING 1:10 1:0
FOR_TESTING 1:6 1:0
FOR_TESTING 1:4 1:0
FOR_TESTING 1:7 1:0
FOR_TESTING 0:3 1:0
FOR_TESTING 0:8 1:0
FOR_TESTING 0:10 1:0
FOR_TESTING 0:6 1:0
FOR_TESTING 0:4 1:0
FOR_TESTING 0:7 1:0
FOR_TESTING 3:8 1:0
FOR_TESTING 3:10 1:0
FOR_TESTING 3:6 1:0
FOR_TESTING 3:4 1:0
FOR_TESTING 3:7 1:0
FOR_TESTING 8:10 1:0
FOR_TESTING 6:8 0:1
FOR_TESTING 4:8 0:1
FOR_TESTING 7:8 0:1
FOR_TESTING 6:10 0:1
FOR_TESTING 4:10 0:1
FOR_TESTING 7:10 0:1
FOR_TESTING 4:6 0:1
FOR_TESTING 6:7 1:0
FOR_TESTING 4:7 1:0
FOR_TRAINING 2:9 1:0
FOR_TRAINING 0:2 0:1
FOR_TRAINING 2:6 1:0
FOR_TRAINING 0:9 0:1
FOR_TRAINING 6:9 0:1
FOR_TRAINING 0:6 1:0
FOR_TESTING 2:7 1:0
FOR_TESTING 0:2 0:1
FOR_TESTING 2:4 1:0
FOR_TESTING 2:10 1:0
FOR_TESTING 2:6 1:0
FOR_TESTING 0:7 0:1
FOR_TESTING 4:7 0:1
FOR_TESTING 7:10 1:0
FOR_TESTING 6:7 0:1
FOR_TESTING 0:4 1:0
FOR_TESTING 0:10 1:0
FOR_TESTING 0:6 1:0
FOR_TESTING 4:10 1:0
FOR_TESTING 4:6 1:0
FOR_TESTING 6:10 0:1
FOR_VALIDATION 2:7 1:0
FOR_VALIDATION 0:2 0:1
FOR_VALIDATION 2:4 1:0
FOR_VALIDATION 2:10 1:0
FOR_VALIDATION 2:9 1:0
FOR_VALIDATION 1:2 0:1
FOR_VALIDATION 2:3 1:0
FOR_VALIDATION 2:6 1:0
FOR_VALIDATION 2:8 1:0
FOR_VALIDATION 0:7 0:1
FOR_VALIDATION 4:7 0:1
FOR_VALIDATION 7:10 1:0
FOR_VALIDATION 7:9 1:0
FOR_VALIDATION 1:7 0:1
FOR_VALIDATION 3:7 0:1
FOR_VALIDATION 6:7 0:1
FOR_VALIDATION 7:8 1:0
FOR_VALIDATION 0:4 1:0
FOR_VALIDATION 0:10 1:0
FOR_VALIDATION 0:9 1:0
FOR_VALIDATION 0:1 1:0
FOR_VALIDATION 0:3 1:0
FOR_VALIDATION 0:6 1:0
FOR_VALIDATION 0:8 1:0
FOR_VALIDATION 4:10 1:0
FOR_VALIDATION 4:9 1:0
FOR_VALIDATION 1:4 0:1
FOR_VALIDATION 3:4 0:1
FOR_VALIDATION 4:6 1:0
FOR_VALIDATION 4:8 1:0
FOR_VALIDATION 9:10 0:1
FOR_VALIDATION 1:10 0:1
FOR_VALIDATION 3:10 0:1
FOR_VALIDATION 6:10 0:1
FOR_VALIDATION 8:10 0:1
FOR_VALIDATION 1:9 0:1
FOR_VALIDATION 3:9 0:1
FOR_VALIDATION 6:9 0:1
FOR_VALIDATION 8:9 0:1
FOR_VALIDATION 1:3 1:0
FOR_VALIDATION 1:6 1:0
FOR_VALIDATION 1:8 1:0
FOR_VALIDATION 3:6 1:0
FOR_VALIDATION 3:8 1:0
FOR_VALIDATION 6:8 1:0
FOR_TRAINING 2:6 1:0
FOR_TRAINING 0:2 0:1
FOR_TRAINING 1:2 0:1
FOR_TRAINING 2:4 1:0
FOR_TRAINING 0:6 0:1
FOR_TRAINING 1:6 0:1
FOR_TRAINING 4:6 0:1
FOR_TRAINING 0:1 1:0
FOR_TRAINING 0:4 1:0
FOR_TRAINING 1:4 1:0
FOR_TRAINING 2:6 1:0
FOR_TRAINING 2:4 1:0
FOR_TRAINING 2:7 1:0
FOR_TRAINING 1:2 0:1
FOR_TRAINING 2:9 1:0
FOR_TRAINING 0:2 0:1
FOR_TRAINING 2:10 1:0
FOR_TRAINING 2:5 1:0
FOR_TRAINING 2:8 1:0
FOR_TRAINING 4:6 0:1
FOR_TRAINING 6:7 1:0
FOR_TRAINING 1:6 0:1
FOR_TRAINING 6:9 1:0
FOR_TRAINING 0:6 0:1
FOR_TRAINING 6:10 1:0
FOR_TRAINING 5:6 0:1
FOR_TRAINING 6:8 1:0
FOR_TRAINING 4:7 1:0
FOR_TRAINING 1:4 0:1
FOR_TRAINING 4:9 1:0
FOR_TRAINING 0:4 0:1
FOR_TRAINING 4:10 1:0
FOR_TRAINING 4:5 1:0
FOR_TRAINING 4:8 1:0
FOR_TRAINING 1:7 0:1
FOR_TRAINING 7:9 1:0
FOR_TRAINING 0:7 0:1
FOR_TRAINING 7:10 1:0
FOR_TRAINING 5:7 0:1
FOR_TRAINING 7:8 1:0
FOR_TRAINING 1:9 1:0
FOR_TRAINING 0:1 0:1
FOR_TRAINING 1:10 1:0
FOR_TRAINING 1:5 1:0
FOR_TRAINING 1:8 1:0
FOR_TRAINING 0:9 0:1
FOR_TRAINING 9:10 1:0
FOR_TRAINING 5:9 0:1
FOR_TRAINING 8:9 0:1
FOR_TRAINING 0:10 1:0
FOR_TRAINING 0:5 1:0
FOR_TRAINING 0:8 1:0
FOR_TRAINING 5:10 0:1
FOR_TRAINING 8:10 0:1
FOR_TRAINING 5:8 1:0
FOR_TESTING 2:6 1:0
FOR_TESTING 0:2 0:1
FOR_TESTING 2:4 1:0
FOR_TESTING 2:3 1:0
FOR_TESTING 2:5 1:0
FOR_TESTING 2:7 1:0
FOR_TESTING 2:9 1:0
FOR_TESTING 0:6 0:1
FOR_TESTING 4:6 0:1
FOR_TESTING 3:6 0:1
FOR_TESTING 5:6 0:1
FOR_TESTING 6:7 1:0
FOR_TESTING 6:9 1:0
FOR_TESTING 0:4 1:0
FOR_TESTING 0:3 1:0
FOR_TESTING 0:5 1:0
FOR_TESTING 0:7 1:0
FOR_TESTING 0:9 1:0
FOR_TESTING 3:4 0:1
FOR_TESTING 4:5 1:0
FOR_TESTING 4:7 1:0
FOR_TESTING 4:9 1:0
FOR_TESTING 3:5 1:0
FOR_TESTING 3:7 1:0
FOR_TESTING 3:9 1:0
FOR_TESTING 5:7 1:0
FOR_TESTING 5:9 1:0
FOR_TESTING 7:9 1:0
FOR_TRAINING 2:7 1:0
FOR_TRAINING 2:9 1:0
FOR_TRAINING 2:6 1:0
FOR_TRAINING 0:2 0:1
FOR_TRAINING 2:4 1:0
FOR_TRAINING 1:2 0:1
FOR_TRAINING 2:10 1:0
FOR_TRAINING 2:8 1:0
FOR_TRAINING 7:9 1:0
FOR_TRAINING 6:7 0:1
FOR_TRAINING 0:7 0:1
FOR_TRAINING 4:7 0:1
FOR_TRAINING 1:7 0:1
FOR_TRAINING 7:10 1:0
FOR_TRAINING 7:8 1:0
FOR_TRAINING 6:9 0:1
FOR_TRAINING 0:9 0:1
FOR_TRAINING 4:9 0:1
FOR_TRAINING 1:9 0:1
FOR_TRAINING 9:10 1:0
FOR_TRAINING 8:9 0:1
FOR_TRAINING 0:6 0:1
FOR_TRAINING 4:6 0:1
FOR_TRAINING 1:6 0:1
FOR_TRAINING 6:10 1:0
FOR_TRAINING 6:8 1:0
FOR_TRAINING 0:4 1:0
FOR_TRAINING 0:1 1:0
FOR_TRAINING 0:10 1:0
FOR_TRAINING 0:8 1:0
FOR_TRAINING 1:4 0:1
FOR_TRAINING 4:10 1:0
FOR_TRAINING 4:8 1:0
FOR_TRAINING 1:10 1:0
FOR_TRAINING 1:8 1:0
